Python 3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: C:\Users\diego\Desktop\endpointsV2.py
(4208, '05-de-agosto'),
(4209, '07-de-agosto'),
(4210, '10-de-agosto'),
(4211, '12-de-agosto'),
(4212, '14-de-agosto'),
(4213, '17-de-agosto'),
(4214, '19-de-agosto'),
(4215, '21-de-agosto'),
(4216, '24-de-agosto'),
(4217, '26-de-agosto'),
(4218, '28-de-agosto'),
(4219, '31-de-agosto'),
(4220, '02-de-septiembre'),
(4221, '04-de-septiembre'),
(4222, '07-de-septiembre'),
(4223, '09-de-septiembre'),
(4224, '11-de-septiembre'),
(4225, '14-de-septiembre'),
(4226, '16-de-septiembre'),
(4227, '18-de-septiembre'),
(4228, '21-de-septiembre'),
(4229, '23-de-septiembre'),
(4230, '25-de-septiembre'),
(4231, '28-de-septiembre'),
(4232, '30-de-septiembre'),
(4233, '02-de-octubre'),
(4234, '05-de-octubre'),
(4235, '07-de-octubre'),
(4236, '09-de-octubre'),
(4237, '12-de-octubre'),
(4238, '14-de-octubre'),
(4239, '16-de-octubre'),
(4240, '19-de-octubre'),
(4241, '21-de-octubre'),
(4242, '23-de-octubre'),
(4243, '26-de-octubre'),
(4244, '28-de-octubre'),
(4245, '30-de-octubre'),
(4246, '02-de-noviembre'),
(4247, '04-de-noviembre'),
(4248, '06-de-noviembre'),
(4249, '09-de-noviembre'),
(4250, '11-de-noviembre'),
(4251, '13-de-noviembre'),
(4252, '16-de-noviembre'),
(4253, '18-de-noviembre'),
(4254, '20-de-noviembre'),
(4255, '23-de-noviembre'),
(4256, '25-de-noviembre'),
(4257, '27-de-noviembre'),
(4258, '30-de-noviembre'),
(4259, '02-de-diciembre'),
(4260, '04-de-diciembre'),
(4261, '07-de-diciembre'),
(4262, '09-de-diciembre'),
(4263, '11-de-diciembre'),
(4264, '14-de-diciembre'),
(4265, '16-de-diciembre'),
(4266, '18-de-diciembre'),
(4267, '21-de-diciembre'),
(4268, '23-de-diciembre'),
(4269, '25-de-diciembre'),
(4270, '28-de-diciembre'),
(4271, '30-de-diciembre'),
(4272, '01-de-enero'),
(4273, '04-de-enero'),
(4274, '06-de-enero'),
(4275, '08-de-enero'),
(4276, '11-de-enero'),
(4277, '13-de-enero'),
(4278, '15-de-enero'),
(4279, '18-de-enero'),
(4280, '20-de-enero'),
(4281, '22-de-enero'),
(4282, '25-de-enero'),
(4283, '27-de-enero'),
(4284, '29-de-enero'),
(4285, '01-de-febrero'),
(4286, '03-de-febrero'),
(4287, '05-de-febrero'),
(4288, '08-de-febrero'),
(4289, '10-de-febrero'),
(4290, '12-de-febrero'),
(4291, '15-de-febrero'),
(4292, '17-de-febrero'),
(4293, '19-de-febrero'),
(4294, '22-de-febrero'),
(4295, '24-de-febrero'),
(4296, '26-de-febrero'),
(4297, '01-de-marzo'),
(4298, '03-de-marzo'),
(4299, '05-de-marzo'),
(4300, '08-de-marzo'),
(4301, '10-de-marzo'),
(4302, '12-de-marzo'),
(4303, '15-de-marzo'),
(4304, '17-de-marzo'),
(4305, '19-de-marzo'),
(4306, '22-de-marzo'),
(4307, '24-de-marzo'),
(4308, '26-de-marzo'),
(4309, '29-de-marzo'),
(4310, '31-de-marzo'),
(4311, '02-de-abril'),
(4312, '05-de-abril'),
(4313, '07-de-abril'),
(4314, '09-de-abril'),
(4315, '12-de-abril'),
(4316, '14-de-abril'),
(4317, '16-de-abril'),
(4318, '19-de-abril'),
(4319, '21-de-abril'),
(4320, '23-de-abril'),
(4321, '26-de-abril'),
(4322, '28-de-abril'),
(4323, '30-de-abril'),
(4324, '03-de-mayo'),
(4325, '05-de-mayo'),
(4326, '07-de-mayo'),
(4327, '10-de-mayo'),
(4328, '12-de-mayo'),
(4329, '14-de-mayo'),
(4330, '17-de-mayo'),
(4331, '19-de-mayo'),
(4332, '21-de-mayo'),
(4333, '24-de-mayo'),
(4334, '26-de-mayo'),
(4335, '28-de-mayo'),
(4336, '31-de-mayo'),
(4337, '02-de-junio'),
(4338, '04-de-junio'),
(4339, '07-de-junio'),
(4340, '09-de-junio'),
(4341, '11-de-junio'),
(4342, '14-de-junio'),
(4343, '16-de-junio'),
(4344, '18-de-junio'),
(4345, '21-de-junio'),
(4346, '23-de-junio'),
(4347, '25-de-junio'),
(4348, '28-de-junio'),
(4349, '30-de-junio'),
(4350, '02-de-julio'),
(4351, '05-de-julio'),
(4352, '07-de-julio'),
(4353, '09-de-julio'),
(4354, '12-de-julio'),
(4355, '14-de-julio'),
(4356, '16-de-julio'),
(4357, '19-de-julio'),
(4358, '21-de-julio'),
(4359, '23-de-julio'),
(4360, '26-de-julio'),
(4361, '28-de-julio'),
(4362, '30-de-julio'),
(4363, '02-de-agosto'),
(4364, '04-de-agosto'),
(4365, '06-de-agosto'),
(4366, '09-de-agosto'),
(4367, '11-de-agosto'),
(4368, '13-de-agosto'),
(4369, '16-de-agosto'),
(4370, '18-de-agosto'),
(4371, '20-de-agosto'),
(4372, '23-de-agosto'),
(4373, '25-de-agosto'),
(4374, '27-de-agosto'),
(4375, '30-de-agosto'),
(4376, '01-de-septiembre'),
(4377, '03-de-septiembre'),
(4378, '06-de-septiembre'),
(4379, '08-de-septiembre'),
(4380, '10-de-septiembre'),
(4381, '13-de-septiembre'),
(4382, '15-de-septiembre'),
(4383, '17-de-septiembre'),
(4384, '20-de-septiembre'),
(4385, '22-de-septiembre'),
(4386, '24-de-septiembre'),
(4387, '27-de-septiembre'),
(4388, '29-de-septiembre'),
(4389, '01-de-octubre'),
(4390, '04-de-octubre'),
(4391, '06-de-octubre'),
(4392, '08-de-octubre'),
(4393, '11-de-octubre'),
(4394, '13-de-octubre'),
(4395, '15-de-octubre'),
(4396, '18-de-octubre'),
(4397, '20-de-octubre'),
(4398, '22-de-octubre'),
(4399, '25-de-octubre'),
(4400, '27-de-octubre'),
(4401, '29-de-octubre'),
(4402, '01-de-noviembre'),
(4403, '03-de-noviembre'),
(4404, '05-de-noviembre'),
(4405, '08-de-noviembre'),
(4406, '10-de-noviembre'),
(4407, '12-de-noviembre'),
(4408, '15-de-noviembre'),
(4409, '17-de-noviembre'),
(4410, '19-de-noviembre'),
(4411, '22-de-noviembre'),
(4412, '24-de-noviembre'),
(4413, '26-de-noviembre'),
(4414, '29-de-noviembre'),
(4415, '01-de-diciembre'),
(4416, '03-de-diciembre'),
(4417, '06-de-diciembre'),
(4418, '08-de-diciembre'),
(4419, '10-de-diciembre'),
(4420, '13-de-diciembre'),
(4421, '15-de-diciembre'),
(4422, '17-de-diciembre'),
(4423, '20-de-diciembre'),
(4424, '22-de-diciembre'),
(4425, '24-de-diciembre'),
(4426, '27-de-diciembre'),
(4427, '29-de-diciembre'),
(4428, '31-de-diciembre'),
(4429, '03-de-enero'),
(4430, '05-de-enero'),
(4431, '07-de-enero'),
(4432, '10-de-enero'),
(4433, '12-de-enero'),
(4434, '14-de-enero'),
(4435, '17-de-enero'),
(4436, '19-de-enero'),
(4437, '21-de-enero'),
(4438, '24-de-enero'),
(4439, '26-de-enero'),
(4440, '28-de-enero'),
(4441, '31-de-enero'),
(4442, '02-de-febrero'),
(4443, '04-de-febrero'),
(4444, '07-de-febrero'),
(4445, '09-de-febrero'),
(4446, '11-de-febrero'),
(4447, '14-de-febrero'),
(4448, '16-de-febrero'),
(4449, '18-de-febrero'),
(4450, '21-de-febrero'),
(4451, '23-de-febrero'),
(4452, '25-de-febrero'),
(4453, '28-de-febrero'),
(4454, '01-de-marzo'),
(4455, '03-de-marzo'),
(4456, '06-de-marzo'),
(4457, '08-de-marzo'),
(4458, '10-de-marzo'),
(4459, '13-de-marzo'),
(4460, '15-de-marzo'),
(4461, '17-de-marzo'),
(4462, '20-de-marzo'),
(4463, '22-de-marzo'),
(4464, '24-de-marzo'),
(4465, '27-de-marzo'),
(4466, '29-de-marzo'),
(4467, '31-de-marzo'),
(4468, '03-de-abril'),
(4469, '05-de-abril'),
(4470, '07-de-abril'),
(4471, '10-de-abril'),
(4472, '12-de-abril'),
(4473, '14-de-abril'),
(4474, '17-de-abril'),
(4475, '19-de-abril'),
(4476, '21-de-abril'),
(4477, '24-de-abril'),
(4478, '26-de-abril'),
(4479, '28-de-abril'),
(4480, '01-de-mayo'),
(4481, '03-de-mayo'),
(4482, '05-de-mayo'),
(4483, '08-de-mayo'),
(4484, '10-de-mayo'),
(4485, '12-de-mayo'),
(4486, '15-de-mayo'),
(4487, '17-de-mayo'),
(4488, '19-de-mayo'),
(4489, '22-de-mayo'),
(4490, '24-de-mayo'),
(4491, '26-de-mayo'),
(4492, '29-de-mayo'),
(4493, '31-de-mayo'),
(4494, '02-de-junio'),
(4495, '05-de-junio'),
(4496, '07-de-junio'),
(4497, '09-de-junio'),
(4498, '12-de-junio'),
(4499, '14-de-junio'),
(4500, '16-de-junio'),
(4501, '19-de-junio'),
(4502, '21-de-junio'),
(4503, '23-de-junio'),
(4504, '26-de-junio'),
(4505, '28-de-junio'),
(4506, '30-de-junio'),
(4507, '03-de-julio'),
(4508, '05-de-julio'),
(4509, '07-de-julio'),
(4510, '10-de-julio'),
(4511, '12-de-julio'),
(4512, '14-de-julio'),
(4513, '17-de-julio'),
(4514, '19-de-julio'),
(4515, '21-de-julio'),
(4516, '24-de-julio'),
(4517, '26-de-julio'),
(4518, '28-de-julio'),
(4519, '31-de-julio'),
(4520, '02-de-agosto'),
(4521, '04-de-agosto'),
(4522, '07-de-agosto'),
(4523, '09-de-agosto'),
(4524, '11-de-agosto'),
(4525, '14-de-agosto'),
(4526, '16-de-agosto'),
(4527, '18-de-agosto'),
(4528, '21-de-agosto'),
(4529, '23-de-agosto'),
(4530, '25-de-agosto'),
(4531, '28-de-agosto'),
(4532, '30-de-agosto'),
(4533, '01-de-septiembre'),
(4534, '04-de-septiembre'),
(4535, '06-de-septiembre'),
(4536, '08-de-septiembre'),
(4537, '11-de-septiembre'),
(4538, '13-de-septiembre'),
(4539, '15-de-septiembre'),
(4540, '18-de-septiembre'),
(4541, '20-de-septiembre'),
(4542, '22-de-septiembre'),
(4543, '25-de-septiembre'),
(4544, '27-de-septiembre'),
(4545, '29-de-septiembre'),
(4546, '02-de-octubre'),
(4547, '04-de-octubre'),
(4548, '06-de-octubre'),
(4549, '09-de-octubre'),
(4550, '11-de-octubre'),
(4551, '13-de-octubre'),
(4552, '16-de-octubre'),
(4553, '18-de-octubre'),
(4554, '20-de-octubre'),
(4555, '23-de-octubre'),
(4556, '25-de-octubre'),
(4557, '27-de-octubre'),
(4558, '30-de-octubre'),
(4559, '01-de-noviembre'),
(4560, '03-de-noviembre'),
(4561, '06-de-noviembre'),
(4562, '08-de-noviembre'),
(4563, '10-de-noviembre'),
(4564, '13-de-noviembre'),
(4565, '15-de-noviembre'),
(4566, '17-de-noviembre'),
(4567, '20-de-noviembre'),
(4568, '22-de-noviembre'),
(4569, '24-de-noviembre'),
(4570, '27-de-noviembre'),
(4571, '29-de-noviembre'),
(4572, '01-de-diciembre'),
(4573, '04-de-diciembre'),
(4574, '06-de-diciembre'),
(4575, '08-de-diciembre'),
(4576, '11-de-diciembre'),
(4577, '13-de-diciembre'),
(4578, '15-de-diciembre'),
(4579, '18-de-diciembre'),
(4580, '20-de-diciembre'),
(4581, '22-de-diciembre'),
(4582, '25-de-diciembre'),
